X,Y,,pup_area,n,Lat,long
-92.0965276044719,4.3419158710899,,AP,6,559596.43,4107613.86
-92.0962103080687,4.34219378357638,,APG,5,559634.06,4107653.25
-92.0925235610092,4.33723899809824,,BBN,8,559017.92,4108158.72
-92.0925233646364,4.33855445208069,,BBNS,1,559187.24,4108151.07
-92.095681370118,4.34197102897136,,BBS,3,559608.49,4107722.92
-92.0957272829283,4.34181097312092,,BBSL,9,559587.62,4107717.92
-92.095613995024,4.34210268125572,,BBSU,1,559625.83,4107730.86
-92.0946912936708,4.3411585616673,,BMB,1,559509.72,4107855.64
-92.0947831149009,4.34166743686867,,BMC,5,559574.68,4107840.8
-92.0951709915874,4.34173995367688,,BMS,4,559581.74,4107790.24
-92.0932457758745,4.34063590584437,,MBBU,6,559450.92,4108045.54
-92.0919271641426,4.33574110463821,,NP,4,558828.61,4108244.55
-92.0909841660393,4.33557258562824,,NP0,5,558812.44,4108367.43
-92.0902099594206,4.33529295944518,,NP1,3,558780.98,4108469.14
-92.0897010805157,4.33528123275381,,NP2,3,558782.45,4108534.99
-92.0891581877428,4.33536848672263,,NP3,4,558796.86,4108604.66
-92.0883474239534,4.33554625621491,,NP4,6,558824.49,4108708.43
-92.0869215759044,4.335673197984,,NP5,4,558849.18,4108892.01
-92.0909460773724,4.3360892752209,,NPG0,1,558879.17,4108369.34
-92.0904358540819,4.33603180271392,,NPG1,6,558874.76,4108435.63
-92.0897724112326,4.33563601799909,,NPG2,1,558827.7,4108523.7
-92.0892990744656,4.33565099916548,,NPG3,1,558832.4,4108584.8
-92.093981432939,4.34579695349097,,P1,2,560110.9,4107920.3
-92.0960884747608,4.34294684006031,,SBE,2,559731.7,4107664.6
-92.0961550439714,4.34281250922859,,SBEL,2,559714.02,4107656.78
-92.0959960190937,4.3431113021448,,SBEU,1,559753.41,4107675.59
-92.0964264833688,4.3424674021192,,SBW,3,559668.01,4107623.71
-92.0957323427042,4.34389402100212,,TSB,16,559855.7,4107705.1
-92.0955073470719,4.34426757625398,,TSBE,1,559905.1,4107732
-92.095568512034,4.34318808877678,,TSC,8,559765.8,4107730.4
-92.0958216840109,4.34282436099146,,TSW,2,559717.5,4107699.8
