"","pupID","momID","pup_area","first_pup","Distance"
"1",42181,20421,"BBS","BBS",0
"2",46846,38289,"BMC","BMC",0
"3",46960,40547,"BBS","BBS",0
"4",47694,40411,"NPG1","NPG1",0
"5",47843,42560,"TSB","TSB",0
"6",48083,40037,"TSW","TSW",0
"7",48213,42029,"TSC","TSC",0
"8",48224,40047,"BBS","BBS",0
"9",48294,40667,"BMC","BMC",0
"10",48395,40547,"SBW","BBS",115.694660637364
"11",48899,41847,"BMB","BMB",0
"12",48912,44408,"NP0","NP0",0
"13",48986,40411,"TSB","NPG1",1223.07700677414
"14",49015,42335,"BBN","BBN",0
"15",49020,41763,"BMS","BMS",0
"16",49127,40568,"NP4","NP4",0
"17",49219,40047,"BBN","BBS",733.958149283856
"18",49222,38289,"NP","BMC",848.312741505217
"19",49395,40645,"NP4","NP4",0
"20",49478,40635,"NP2","NP2",0
"21",49507,40667,"TSB","BMC",312.068470691721
"22",49541,20421,"NP4","BBS",1259.31964175124
"23",49990,40411,"TSC","NPG1",1136.35453732541
"24",49991,40411,"TSC","NPG1",1136.35453732541
"25",50299,42335,"NP1","BBN",390.513943413014
"26",50325,40660,"NP3","NP3",0
"27",50334,41847,"NP5","BMB",1228.97350195159
"28",50339,42682,"MBBU","MBBU",0
"29",50341,40645,"BBNS","NP4",665.009572938897
"30",50342,41763,"APG","BMS",146.641203282256
"31",50428,46864,"APG","APG",0
"32",50441,42257,"BMS","BMS",0
"33",50671,40667,"BMC","BMC",0
"34",50732,38289,"NP","BMC",848.312741505217
"35",50784,40635,"TSC","NP2",1270.56770406015
"36",51306,40047,"MBBU","BBS",359.043130139063
"37",51354,40568,"AP","NP4",1339.39346291549
"38",51363,44408,"NPG1","NP0",92.3851849593322
"39",51369,46788,"NPG1","NPG1",0
"40",51388,42560,"NP","TSB",1160.13799636062
"41",51417,42029,"TSB","TSC",93.3921838269875
"42",51427,46837,"TSB","TSB",0
"43",51439,42682,"MBBU","MBBU",0
"44",51718,41763,"NP4","BMS",1190.16823961989
"45",51743,40411,"BBSL","NPG1",1011.57156133411
"46",51751,46864,"BMS","APG",146.641203282256
"47",51788,46703,"P1","P1",0
"48",51875,46907,"NPG1","NPG1",0
"49",51880,40660,"BBN","NP3",497.724830805109
"50",52130,40667,"P1","BMC",542.081302389199
"51",52182,40635,"TSBE","NP2",1380.26662735879
"52",52663,45177,"BBSL","BBSL",0
"53",52789,44962,"NPG1","NPG1",0
"54",52951,46864,"SBW","APG",45.0023788260025
"55",52979,48082,"NP4","NP4",0
"56",52982,46787,"SBE","SBE",0
"57",53016,41763,"BMC","BMS",51.05053574604
"58",53074,48244,"BBSL","BBSL",0
"59",53108,46703,"TSB","P1",333.823426379749
"60",53115,46837,"SBE","TSB",130.446349124841
"61",53118,40047,"BBSU","BBS",19.0714236489566
"62",53130,45282,"BBN","BBN",0
"63",53244,40037,"AP","TSW",148.470968542601
"64",53291,42257,"TSB","BMS",286.884822184796
"65",53460,40660,"AP","NP3",1273.1837357195
"66",53494,46907,"NP3","NPG1",186.117035491359
"67",53512,42560,"TSB","TSB",0
"68",54734,46788,"NP1","NPG1",99.5871904414492
"69",54756,45177,"SBW","BBSL",123.846987044479
"70",54764,41847,"NP0","BMB",864.944161492565
"71",54826,46787,"APG","SBE",98.2974674138765
"72",54862,46703,"TSC","P1",393.898489461369
"73",54895,44962,"NP2","NPG1",135.62280671066
"74",54964,40660,"BBN","NP3",497.724830805109
"75",55003,48082,"NP5","NP4",185.232860205363
"76",55020,40645,"BBN","NP4",582.748873014765
"77",55249,48244,"BBSL","BBSL",0
"78",55259,40047,"SBEL","BBS",124.543488388688
"79",55317,42029,"TSB","TSC",93.3921838269875
"80",55385,41763,"NP5","BMS",1323.08022678102
"81",55406,45282,"BBN","BBN",0
"82",55475,46907,"NP1","NPG1",99.5871904414492
"83",57445,46788,"NPG0","NPG1",66.4365276034594
"84",57682,40047,"SBEU","BBS",152.453059333092
