"","pupID","momID","pup_area","mom_area","pup_long","pup_lat","mom_long","mom_lat"
"1",33882,2515,"BBN","BM",-122.3356758,37.11790643,-122.3296217,37.11514703
"2",33890,1608,"NPG2","NNPG3",-122.3377882,37.12120821,-122.3377305,37.12175865
"3",40049,20437,"BMS","BMS",-122.329359,37.11454936,-122.329359,37.11454936
"4",41848,20873,"NPG3","NPG2B",-122.3377305,37.12175865,-122.3382353,37.12157127
"5",42181,20421,"BBS","TSC",-122.3290633,37.11394085,-122.3272922,37.11399824
"6",45274,36700,"NP","BMS",-122.3377999,37.11869199,-122.329359,37.11454936
"7",46846,38289,"BMC","BBN",-122.3294344,37.11500554,-122.3356758,37.11790643
"8",46960,40547,"BBS","MBB",-122.3290633,37.11394085,-122.3308427,37.11628276
"9",47694,40411,"NPG1","BBS",-122.3372654,37.12041142,-122.3290633,37.11394085
"10",47746,34130,"NPG1","NPG1",-122.3372654,37.12041142,-122.3372654,37.12041142
"11",47843,42560,"TSB","TSB",-122.3262823,37.11376445,-122.3262823,37.11376445
"12",48083,40037,"TSW","BMS",-122.3278382,37.11372551,-122.329359,37.11454936
"13",48166,42208,"TSB","TSW",-122.3262823,37.11376445,-122.3278382,37.11372551
"14",48213,42029,"TSC","BBS",-122.3272922,37.11399824,-122.3290633,37.11394085
"15",48224,40047,"BBS","MBB",-122.3290633,37.11394085,-122.3308427,37.11628276
"16",48294,40667,"BMC","SBE",-122.3294344,37.11500554,-122.3276812,37.11340732
"17",48395,40547,"SBW","MBB",-122.3284013,37.11304282,-122.3308427,37.11628276
"18",48899,41847,"BMB","P1",-122.3301644,37.11514343,-122.3233928,37.11568783
"19",48912,44408,"NP0","NP",-122.3379723,37.1198006,-122.3377999,37.11869199
"20",48986,40411,"TSB","BBS",-122.3262823,37.11376445,-122.3290633,37.11394085
"21",49015,42335,"BBN","BBN",-122.3356758,37.11790643,-122.3356758,37.11790643
"22",49020,41763,"BMS","NPG",-122.329359,37.11454936,-122.3374057,37.12027041
"23",49021,43992,"TSB","NP1",-122.3262823,37.11376445,-122.3383184,37.12071936
"24",49127,40568,"NP4","SBEU",-122.3378099,37.1228735,-122.327436,37.113505
"25",49219,40047,"BBN","MBB",-122.3356758,37.11790643,-122.3308427,37.11628276
"26",49222,38289,"NP","BBN",-122.3377999,37.11869199,-122.3356758,37.11790643
"27",49395,40645,"NP4","NP",-122.3378099,37.1228735,-122.3377999,37.11869199
"28",49478,40635,"NP2","APG",-122.3382967,37.12131282,-122.328781,37.11331125
"29",49507,40667,"TSB","SBE",-122.3262823,37.11376445,-122.3276812,37.11340732
"30",49541,20421,"NP4","TSC",-122.3378099,37.1228735,-122.3272922,37.11399824
"31",49990,40411,"TSC","BBS",-122.3272922,37.11399824,-122.3290633,37.11394085
"32",49991,40411,"TSC","BBS",-122.3272922,37.11399824,-122.3290633,37.11394085
"33",50299,42335,"NP1","BBN",-122.3383184,37.12071936,-122.3356758,37.11790643
"34",50325,40660,"NP3","BBN",-122.338129,37.12193989,-122.3356758,37.11790643
"35",50334,41847,"NP5","P1",-122.3375175,37.12452667,-122.3233928,37.11568783
"36",50339,42682,"MBBU","NP",-122.3308111,37.11685886,-122.3377999,37.11869199
"37",50341,40645,"BBNS","NP",-122.3337706,37.11782678,-122.3377999,37.11869199
"38",50342,41763,"APG","NPG",-122.328781,37.11331125,-122.3374057,37.12027041
"39",50366,42133,"BMC","BBS",-122.3294344,37.11500554,-122.3290633,37.11394085
"40",50428,46864,"APG","BBS",-122.328781,37.11331125,-122.3290633,37.11394085
"41",50441,42257,"BMS","BMS",-122.329359,37.11454936,-122.329359,37.11454936
"42",50671,40667,"BMC","SBE",-122.3294344,37.11500554,-122.3276812,37.11340732
"43",50732,38289,"NP","BBN",-122.3377999,37.11869199,-122.3356758,37.11790643
"44",50784,40635,"TSC","APG",-122.3272922,37.11399824,-122.328781,37.11331125
"45",51306,40047,"MBBU","MBB",-122.3308111,37.11685886,-122.3308427,37.11628276
"46",51354,40568,"AP","SBEU",-122.3292077,37.1129586,-122.327436,37.113505
"47",51363,44408,"NPG1","NP",-122.3372654,37.12041142,-122.3377999,37.11869199
"48",51369,46788,"NPG1","NP2",-122.3372654,37.12041142,-122.3382967,37.12131282
"49",51388,42560,"NP","TSB",-122.3377999,37.11869199,-122.3262823,37.11376445
"50",51417,42029,"TSB","BBS",-122.3262823,37.11376445,-122.3290633,37.11394085
"51",51427,46837,"TSB","MBB",-122.3262823,37.11376445,-122.3308427,37.11628276
"52",51439,42682,"MBBU","NP",-122.3308111,37.11685886,-122.3377999,37.11869199
"53",51653,48179,"BBSL","BMS",-122.3292986,37.11389712,-122.329359,37.11454936
"54",51718,41763,"NP4","NPG",-122.3378099,37.1228735,-122.3374057,37.12027041
"55",51743,40411,"BBSL","BBS",-122.3292986,37.11389712,-122.3290633,37.11394085
"56",51751,46864,"BMS","BBS",-122.329359,37.11454936,-122.3290633,37.11394085
"57",51781,42093,"NP4","BBN",-122.3378099,37.1228735,-122.3356758,37.11790643
"58",51788,46703,"P1","BMC",-122.3233928,37.11568783,-122.3294344,37.11500554
"59",51875,46907,"NPG1","BBNS",-122.3372654,37.12041142,-122.3337706,37.11782678
"60",51880,40660,"BBN","BBN",-122.3356758,37.11790643,-122.3356758,37.11790643
"61",51965,46580,"AP","BBS",-122.3292077,37.1129586,-122.3290633,37.11394085
"62",52130,40667,"P1","SBE",-122.3233928,37.11568783,-122.3276812,37.11340732
"63",52182,40635,"TSBE","APG",-122.3257242,37.11400376,-122.328781,37.11331125
"64",52660,46895,"AP","TSB",-122.3292077,37.1129586,-122.3262823,37.11376445
"65",52663,45177,"BBSL","NP",-122.3292986,37.11389712,-122.3377999,37.11869199
"66",52789,44962,"NPG1","NP",-122.3372654,37.12041142,-122.3377999,37.11869199
"67",52951,46864,"SBW","BBS",-122.3284013,37.11304282,-122.3290633,37.11394085
"68",52979,48082,"NP4","NP2/3",-122.3378099,37.1228735,-122.3381944,37.12162332
"69",52982,46787,"SBE","TSE",-122.3276812,37.11340732,-122.3267612,37.11421788
"70",52995,48257,"MBBU","BBSL",-122.3308111,37.11685886,-122.3292986,37.11389712
"71",53016,41763,"BMC","NPG",-122.3294344,37.11500554,-122.3374057,37.12027041
"72",53074,48244,"BBSL","AP",-122.3292986,37.11389712,-122.3292077,37.1129586
"73",53102,48332,"TSB","NP1",-122.3262823,37.11376445,-122.3383184,37.12071936
"74",53108,46703,"TSB","BMC",-122.3262823,37.11376445,-122.3294344,37.11500554
"75",53115,46837,"SBE","MBB",-122.3276812,37.11340732,-122.3308427,37.11628276
"76",53118,40047,"BBSU","MBB",-122.3288675,37.11401132,-122.3308427,37.11628276
"77",53130,45282,"BBN","BBN",-122.3356758,37.11790643,-122.3356758,37.11790643
"78",53156,48141,"BBSL","TSW",-122.3292986,37.11389712,-122.3278382,37.11372551
"79",53244,40037,"AP","BMS",-122.3292077,37.1129586,-122.329359,37.11454936
"80",53279,46877,"MBBU","AP",-122.3308111,37.11685886,-122.3292077,37.1129586
"81",53291,42257,"TSB","BMS",-122.3262823,37.11376445,-122.329359,37.11454936
"82",53399,42012,"TSB","TSB",-122.3262823,37.11376445,-122.3262823,37.11376445
"83",53400,48303,"TSB","AP",-122.3262823,37.11376445,-122.3292077,37.1129586
"84",53460,40660,"AP","BBN",-122.3292077,37.1129586,-122.3356758,37.11790643
"85",53494,46907,"NP3","BBNS",-122.338129,37.12193989,-122.3337706,37.11782678
"86",53506,48374,"TSB","AP",-122.3262823,37.11376445,-122.3292077,37.1129586
"87",53512,42560,"TSB","TSB",-122.3262823,37.11376445,-122.3262823,37.11376445
"88",54733,46965,"TSC","AP",-122.3272922,37.11399824,-122.3292077,37.1129586
"89",54734,46788,"NP1","NP2",-122.3383184,37.12071936,-122.3382967,37.12131282
"90",54756,45177,"SBW","NP",-122.3284013,37.11304282,-122.3377999,37.11869199
"91",54762,45093,"MBBU","NP",-122.3308111,37.11685886,-122.3377999,37.11869199
"92",54764,41847,"NP0","P1",-122.3379723,37.1198006,-122.3233928,37.11568783
"93",54768,49914,"TSB","BBN",-122.3262823,37.11376445,-122.3356758,37.11790643
"94",54792,49503,"TSW","BBSL",-122.3278382,37.11372551,-122.3292986,37.11389712
"95",54813,49350,"NP3","BBSL",-122.338129,37.12193989,-122.3292986,37.11389712
"96",54814,48020,"APG","MBB",-122.328781,37.11331125,-122.3308427,37.11628276
"97",54815,48986,"TSC","TSB",-122.3272922,37.11399824,-122.3262823,37.11376445
"98",54826,46787,"APG","TSE",-122.328781,37.11331125,-122.3267612,37.11421788
"99",54862,46703,"TSC","BMC",-122.3272922,37.11399824,-122.3294344,37.11500554
"100",54887,48154,"BBSL","SBW",-122.3292986,37.11389712,-122.3284013,37.11304282
"101",54895,44962,"NP2","NP",-122.3382967,37.12131282,-122.3377999,37.11869199
"102",54900,48936,"NP3","NP3",-122.338129,37.12193989,-122.338129,37.12193989
"103",54944,49395,"NP0","NP4",-122.3379723,37.1198006,-122.3378099,37.1228735
"104",54964,40660,"BBN","BBN",-122.3356758,37.11790643,-122.3356758,37.11790643
"105",54995,46857,"BBSL","BBN",-122.3292986,37.11389712,-122.3356758,37.11790643
"106",55003,48082,"NP5","NP2/3",-122.3375175,37.12452667,-122.3381944,37.12162332
"107",55004,49219,"NP5","BBN",-122.3375175,37.12452667,-122.3356758,37.11790643
"108",55019,46653,"NP2","NP3",-122.3382967,37.12131282,-122.338129,37.12193989
"109",55020,40645,"BBN","NP",-122.3356758,37.11790643,-122.3377999,37.11869199
"110",55045,49504,"NP0","TSB",-122.3379723,37.1198006,-122.3262823,37.11376445
"111",55249,48244,"BBSL","AP",-122.3292986,37.11389712,-122.3292077,37.1129586
"112",55250,46863,"BBSL","TSB",-122.3292986,37.11389712,-122.3262823,37.11376445
"113",55259,40047,"SBEL","MBB",-122.3278808,37.11333797,-122.3308427,37.11628276
"114",55314,46817,"SBEL","BBS",-122.3278808,37.11333797,-122.3290633,37.11394085
"115",55317,42029,"TSB","BBS",-122.3262823,37.11376445,-122.3290633,37.11394085
"116",55385,41763,"NP5","NPG",-122.3375175,37.12452667,-122.3374057,37.12027041
"117",55406,45282,"BBN","BBN",-122.3356758,37.11790643,-122.3356758,37.11790643
"118",55475,46907,"NP1","BBNS",-122.3383184,37.12071936,-122.3337706,37.11782678
"119",57445,46788,"NPG0","NP2",-122.337221,37.11981362,-122.3382967,37.12131282
"120",57454,50634,"NP0","NP1",-122.3379723,37.1198006,-122.3383184,37.12071936
"121",57456,49001,"TSC","NPG4",-122.3272922,37.11399824,-122.3368722,37.1226311
"122",57469,46960,"APG","BBS",-122.328781,37.11331125,-122.3290633,37.11394085
"123",57682,40047,"SBEU","MBB",-122.327436,37.113505,-122.3308427,37.11628276
"124",57823,46863,"AP","TSB",-122.3292077,37.1129586,-122.3262823,37.11376445
